domain_index,D,fusion_score,true_rank,predicted_rank
0,2.0613320526617955,0.2219371074597363,3111.0,3189.0
3,3.663559479647896,0.5412332719697937,1555.0,1850.0
21,2.749952287498566,0.4697446195834858,2446.0,2168.0
23,1.3562628946998407,0.0828727626942889,3618.0,3749.0
40,0.955042679176114,0.1236568397639345,3827.0,3600.0
42,1.5514473943247706,0.1591882881058421,3497.0,3463.0
46,0.9390838491891504,0.0641388414600779,3837.0,3802.0
54,2.2523282873137767,0.1932166600953495,2902.0,3308.0
71,1.4231307746147273,0.2082030857706954,3577.0,3248.0
91,0.7283073685677272,0.0500121060272451,3902.0,3853.0
111,2.1849516728279186,0.1524613583325514,2969.0,3484.0
122,1.0368947643742217,0.1759404758833079,3798.0,3386.0
123,2.7555920182297684,0.240095437802478,2443.0,3102.0
128,1.3713378124298032,0.1875211490889549,3602.0,3337.0
131,2.192466846334219,0.4717030667847547,2960.0,2161.0
134,2.0989944972889987,0.4083452674004709,3063.0,2402.0
147,3.5918129315513307,0.3229028685869022,1632.0,2746.0
149,2.764727291113738,0.2500936962138272,2432.0,3058.0
152,1.3072683960348432,0.203357250452123,3652.0,3268.0
155,2.604470148786796,0.3189040462344378,2586.0,2765.0
156,2.7338869439997,0.2970070078947977,2463.0,2853.0
158,2.522670114817592,0.1939992326672622,2643.0,3302.0
175,2.269212377811426,0.2893434842472065,2881.0,2889.0
176,2.883983459869682,0.429035047274363,2311.0,2327.0
178,3.680051118031249,0.6132487047144344,1530.0,1521.0
202,3.983984504870082,0.6931648644274575,1244.0,1184.0
216,3.816029036614196,0.6786705695093289,1405.0,1243.0
228,2.9708358727744555,0.5766698042674316,2231.0,1692.0
235,3.327977374800323,0.5754346483643471,1888.0,1697.0
249,2.071731879549048,0.2548348239714505,3095.0,3041.0
251,4.008960863501754,0.7059835794038227,1214.0,1136.0
283,4.278533432707063,0.8290405292244237,978.0,592.0
294,2.4322811092826493,0.3494128213892314,2733.0,2629.0
375,3.889954116251849,0.7343670703152854,1348.0,1000.0
376,3.889913513069274,0.7346629397570421,1350.0,996.0
379,1.540982609020364,0.0776616772384823,3503.0,3766.0
414,3.1636090564372994,0.5293725677993466,2022.0,1902.0
430,4.968218731428469,0.6025899181098631,503.0,1578.0
445,3.8923467910406377,0.5336408413575263,1343.0,1881.0
452,4.963888546341249,0.6549748083588411,504.0,1359.0
476,1.767388269445887,0.1432113369517139,3344.0,3518.0
487,2.2458804114159023,0.3530233664135536,2909.0,2617.0
493,1.7438670026808314,0.1699808578962127,3361.0,3405.0
514,2.9248128713335726,0.6985293872062746,2277.0,1164.0
538,2.968477186296131,0.4864698599925188,2236.0,2090.0
558,2.4757275050290253,0.2148310979191647,2685.0,3216.0
571,5.410167138312812,0.7116169735401067,323.0,1110.0
658,2.038767079838707,0.2013076068510681,3134.0,3277.0
659,3.3062700293143195,0.3908559425298993,1909.0,2465.0
679,3.301195113912591,0.7226827050494071,1916.0,1050.0
681,2.7071615327685277,0.3552794334903014,2491.0,2603.0
742,4.546247868502592,0.6166848246029919,747.0,1508.0
745,4.02606133040497,0.5053398817103507,1195.0,2003.0
746,1.4068415290310776,0.3839388199014569,3586.0,2494.0
747,1.7654007852396711,0.4343420107335488,3346.0,2305.0
753,5.893743401517861,0.6542095860740078,198.0,1361.0
762,6.116221743014342,0.8737854744802345,141.0,426.0
783,4.059562542684679,0.7863164164989334,1162.0,757.0
794,4.346910599364441,0.6576638128369958,919.0,1346.0
798,3.4090444483539613,0.6077094420121094,1815.0,1558.0
840,3.538622275531906,0.5798574926948442,1692.0,1680.0
860,3.4427272429844606,0.7066996570109656,1777.0,1132.0
863,2.3678785424858337,0.4861321462918183,2802.0,2093.0
872,3.348381886451556,0.6438215289230667,1869.0,1400.0
878,3.092899717969087,0.5215396326397235,2093.0,1940.0
892,1.8192590623158544,0.0814088235044422,3308.0,3751.0
899,0.6705482079511959,0.1347104685906206,3911.0,3553.0
902,2.112161076005031,0.1841991301741691,3045.0,3356.0
909,0.5329473307720045,0.1267817465309435,3940.0,3585.0
913,1.3380482797272526,0.2042958121820272,3637.0,3261.0
916,2.8081021446026733,0.5029558790754622,2390.0,2016.0
947,2.193613341707203,0.3623220171476307,2957.0,2573.0
949,3.1998607159636436,0.4951813020149057,1987.0,2051.0
965,3.6444625866913585,0.6304225083980083,1577.0,1456.0
999,4.147115265860808,0.7814929247549989,1085.0,782.0
1003,1.5257544030162942,0.0503193089391352,3511.0,3850.0
1020,4.483979152885899,0.6217714729796273,803.0,1490.0
1044,3.0793055159789704,0.6027098759755558,2113.0,1577.0
1069,3.961257086154425,0.8160931458337631,1259.0,640.0
1093,3.891538122982058,0.7420399906363881,1344.0,962.0
1094,3.712002318331968,0.7283214484442954,1500.0,1027.0
1118,3.31342873329668,0.7460938273045359,1900.0,944.0
1120,3.5674568743630672,0.7199733825455823,1661.0,1068.0
1161,4.439539469451334,0.6639593626030276,834.0,1316.0
1162,2.898137823662443,0.5707378066059369,2303.0,1719.0
1171,1.4293300159142963,0.0515410415140536,3571.0,3844.0
1208,1.1585069848348484,0.0255530141621934,3739.0,3936.0
1244,1.9057379410877024,0.2236599251931788,3242.0,3176.0
1260,1.3759284607447697,0.3027124191515573,3601.0,2827.0
1311,2.1091369925441183,0.282616172665574,3051.0,2926.0
1326,3.5482722953045185,0.6271115135052487,1681.0,1469.0
1360,2.3676002071282554,0.2996561201823296,2803.0,2841.0
1388,2.355190590267937,0.3254581180511796,2817.0,2734.0
1396,1.2700957842337417,0.1180319115073425,3673.0,3618.0
1397,3.94524883290285,0.6479210102708561,1275.0,1379.0
1475,2.9456479208381965,0.6263927858040651,2254.0,1475.0
1494,3.7092084369737575,0.5102696768761994,1503.0,1984.0
1496,3.932149073479265,0.6084976473488407,1299.0,1553.0
1500,2.201589100597866,0.0701646721321892,2952.0,3789.0
1519,4.109590499337687,0.6854225630720195,1112.0,1216.0
1536,3.4742216947773232,0.6096823150913968,1755.0,1548.0
1541,3.5405635343935447,0.5504020938350559,1691.0,1801.0
1578,1.4558931012113736,0.0524540998149461,3549.0,3842.0
1587,2.967549589114083,0.4298289426124653,2238.0,2319.0
1610,2.9567488417232113,0.3509871998831171,2250.0,2624.0
1612,5.201295004784949,0.722889308110696,403.0,1048.0
1631,2.5418071253934564,0.3421214740974312,2627.0,2670.0
1691,1.8975675067837432,0.0933307210885235,3249.0,3707.0
1744,0.9332779270767934,0.0293621444132925,3841.0,3925.0
1758,2.2934903026089373,0.3116171261292369,2868.0,2800.0
1797,2.7532133071901,0.4962338531156496,2444.0,2042.0
1817,1.319824939742199,0.1244989742532445,3646.0,3593.0
1882,3.3265694466500775,0.5939411501222194,1889.0,1618.0
1925,3.6381327703890953,0.6730380950056787,1584.0,1271.0
1983,3.8915168552349497,0.7320026426382218,1345.0,1010.0
2025,3.616903045101389,0.7143926211709771,1603.0,1097.0
