locked_row_id,domain_index,canonical_smiles,D,true_rank_percentile,fusion_rank_percentile,member_rank_iqr,absolute_rank_error,predicted_top10,true_top10
0,0,BrC(Br)(Br)C1CO1,2.0613320526617955,77.775,79.725,3.9749999999999943,1.9499999999999886,False,False
1,3,BrC1(Br)CCO1,3.663559479647896,38.875,46.25,1.375,7.375,False,False
2,21,BrC1=CCNO1,2.749952287498566,61.150000000000006,54.2,3.46875,6.950000000000003,False,False
3,23,BrC1=CCOC=C1,1.3562628946998407,90.45,93.72500000000001,2.000000000000014,3.2750000000000057,False,False
4,40,BrC1=COOP=C1Br,0.955042679176114,95.675,90.0,1.4187500000000028,5.674999999999997,False,False
5,42,BrC1=CSCC1,1.5514473943247706,87.425,86.575,1.84375,0.8499999999999943,False,False
6,46,BrC1=NCOC1,0.9390838491891504,95.92500000000001,95.05,1.0062500000000085,0.8750000000000142,False,False
7,54,BrC1C=COCC1,2.2523282873137767,72.55,82.69999999999999,3.3125,10.149999999999991,False,False
8,71,BrC1CCOC1,1.4231307746147273,89.425,81.2,2.5562499999999915,8.224999999999994,False,False
9,91,BrC1CSC1,0.7283073685677272,97.55,96.325,3.5687500000000085,1.2249999999999943,False,False
10,111,BrCC1=COC1,2.1849516728279186,74.225,87.1,2.512500000000017,12.875,False,False
11,122,BrCC1CCOCC1,1.0368947643742217,94.95,84.65,4.7250000000000085,10.299999999999997,False,False
12,123,BrCC1CO1,2.7555920182297684,61.075,77.55,7.325000000000003,16.474999999999994,False,False
14,128,BrCC1OC1(Br)Br,1.3713378124298032,90.05,83.42500000000001,4.4624999999999915,6.624999999999986,False,False
15,131,BrCC1OCC=CCO1,2.192466846334219,74.0,54.025,9.112499999999997,19.975,False,False
16,134,BrCC1OO1,2.0989944972889987,76.575,60.050000000000004,6.231249999999996,16.525,False,False
17,147,BrCCC[C@H]1CO1,3.5918129315513307,40.8,68.65,10.693749999999994,27.85000000000001,False,False
18,149,BrCCOC1CC1,2.764727291113738,60.8,76.44999999999999,3.3499999999999943,15.649999999999991,False,False
19,152,BrCCOCBr,1.3072683960348432,91.3,81.69999999999999,6.037499999999994,9.600000000000009,False,False
20,155,BrCC[C@H]1CO1,2.604470148786796,64.64999999999999,69.125,5.981250000000003,4.4750000000000085,False,False
21,156,BrCN1C=CSC1,2.7338869439997,61.575,71.325,2.5187500000000114,9.75,False,False
22,158,BrCOCOCBr,2.522670114817592,66.07499999999999,82.55,2.581249999999997,16.47500000000001,False,False
23,175,BrP1NN=CO1,2.269212377811426,72.02499999999999,72.225,5.131249999999994,0.20000000000000284,False,False
24,176,BrP1OC=CO1,2.883983459869682,57.775,58.175,4.262500000000003,0.3999999999999986,False,False
25,178,BrP1OCCO1,3.680051118031249,38.25,38.025,5.731249999999996,0.22500000000000142,False,False
26,202,C#CC#CC(=O)C(C)O,3.983984504870082,31.1,29.599999999999998,3.1750000000000007,1.5000000000000036,False,False
27,216,C#CC#CC(=O)N1CC1,3.816029036614196,35.125,31.075000000000003,11.087500000000002,4.049999999999997,False,False
28,228,C#CC#CC(C#N)CO,2.9708358727744555,55.775,42.3,5.799999999999997,13.475000000000001,False,False
29,235,C#CC#CC(C)=O,3.327977374800323,47.199999999999996,42.425000000000004,1.9750000000000014,4.7749999999999915,False,False
30,249,C#CC#CC(CO)OC,2.071731879549048,77.375,76.02499999999999,1.7437500000000057,1.3500000000000085,False,False
31,251,C#CC#CC(N)=O,4.008960863501754,30.349999999999998,28.4,7.09375,1.9499999999999993,False,False
